City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,flying fish cove,-10.4217,105.6791,25.82,88,75,4.12,CX,1698269479
1,zhangatas,43.5667,69.75,16.17,47,100,8.17,KZ,1698269644
2,chernyshevskiy,63.0128,112.4714,-7.51,97,100,1.73,RU,1698269645
3,jamestown,42.097,-79.2353,21.68,35,0,4.12,US,1698269395
4,lebu,-37.6167,-73.65,11.92,79,0,10.87,CL,1698269647
5,kailua-kona,19.6406,-155.9956,30.89,74,20,4.12,US,1698269648
6,puerto natales,-51.7236,-72.4875,2.48,98,100,1.83,CL,1698269649
7,waitangi,-43.9535,-176.5597,14.9,90,5,2.24,NZ,1698269650
8,ushuaia,-54.8,-68.3,4.81,81,100,12.35,AR,1698269651
9,port-aux-francais,-49.35,70.2167,4.55,91,100,1.25,TF,1698269652
10,klyuchi,52.2667,79.1667,12.15,58,100,8.37,RU,1698269654
11,fortuna,40.5982,-124.1573,15.19,67,40,1.79,US,1698269655
12,punta arenas,-53.15,-70.9167,7.06,65,75,12.86,CL,1698269622
13,scarborough,54.2797,-0.4044,10.92,93,100,1.12,GB,1698269572
14,albany,42.6001,-73.9662,21.23,60,97,1.04,US,1698269602
15,stanley,54.868,-1.6985,9.74,93,100,1.86,GB,1698269524
16,wailua homesteads,22.0669,-159.378,28.75,59,0,4.12,US,1698269660
17,adamstown,-25.066,-130.1015,22.76,82,56,7.48,PN,1698269660
18,bethel,41.3712,-73.414,21.14,58,70,1.83,US,1698269661
19,edinburgh of the seven seas,-37.0676,-12.3116,10.67,57,30,6.31,SH,1698269663
20,crane,31.3974,-102.3501,25.06,41,0,2.63,US,1698269663
21,vilyuchinsk,52.9306,158.4028,4.96,68,42,8.03,RU,1698269664
22,ribeira grande,38.5167,-28.7,18.76,82,100,1.79,PT,1698269446
23,puerto ayora,-0.7393,-90.3518,27.98,92,95,4.47,EC,1698269666
24,ulsteinvik,62.3432,5.8487,6.84,79,57,1.79,NO,1698269667
25,thompson,55.7435,-97.8558,-0.91,59,100,4.63,CA,1698269669
26,whitehorse,60.7161,-135.0538,0.05,73,75,2.57,CA,1698269509
27,taltal,-25.4,-70.4833,16.07,79,60,4.94,CL,1698269421
28,guajara mirim,-10.7828,-65.3394,28.23,67,86,1.84,BR,1698269671
29,bredasdorp,-34.5322,20.0403,13.98,88,100,0.27,ZA,1698269672
30,butembo,0.15,29.2833,14.9,95,95,1.22,CD,1698269672
31,kaga bandoro,6.9896,19.1874,22.97,94,85,1.02,CF,1698269673
32,kerikeri,-35.2268,173.9474,21.06,83,8,0.89,NZ,1698269634
33,bardai,11.65,7.2333,23.98,25,100,1.53,NG,1698269675
34,leer,53.2316,7.461,11.08,95,100,3.42,DE,1698269676
35,calvinia,-31.4707,19.776,20.03,27,36,0.7,ZA,1698269677
36,avarua,-21.2078,-159.775,22.03,56,100,3.6,CK,1698269576
37,hithadhoo,-0.6,73.0833,27.74,77,59,7.27,MV,1698269679
38,port elizabeth,-33.918,25.5701,17.16,85,0,4.63,ZA,1698269680
39,ouargaye,11.5033,0.0572,29.17,40,100,3.7,BF,1698269681
40,kingston,17.997,-76.7936,25.53,94,75,4.12,JM,1698269682
41,blackmans bay,-43.0167,147.3167,7.07,73,95,0.89,AU,1698269682
42,quellon,-43.1167,-73.6167,11.99,69,86,1.58,CL,1698269479
43,grytviken,-54.2811,-36.5092,1.09,78,58,6.41,GS,1698269520
44,yelizovo,53.1873,158.3805,4.89,74,40,2.0,RU,1698269685
45,miyazaki,31.9111,131.4239,12.97,88,1,3.09,JP,1698269408
46,susanville,40.4163,-120.653,9.34,63,0,5.81,US,1698269687
